1,297,70,1405,-1
2,87,66,178,-1
3,101,56,172,-1
4,94,56,165,-1
5,119,58,192,-1
6,110,60,188,-1
7,110,56,183,-1
8,111,57,187,-1
9,111,72,203,-1
10,110,56,184,-1
11,63,21,100,-1
12,90,29,129,-1
13,81,25,118,-1
14,99,57,171,-1
15,84,60,157,-1
16,123,60,200,-1
17,123,56,197,-1
18,110,58,180,-1
19,120,60,192,-1
20,89,60,171,-1
21,113,56,182,-1
22,111,63,186,-1
23,112,57,184,-1
24,108,56,253,-1
25,114,57,187,-1
26,110,55,179,-1
27,110,56,179,-1
28,118,54,186,-1
29,111,61,184,-1
30,119,55,187,-1
31,112,56,182,-1
32,112,58,185,-1
33,110,64,196,-1
34,111,58,198,-1
35,110,56,200,-1
36,109,63,185,-1
37,119,59,195,-1
38,112,55,183,-1
39,122,57,198,-1
40,114,57,189,-1
41,114,55,185,-1
42,112,57,182,-1
43,111,58,184,-1
44,112,59,186,-1
45,115,57,188,-1
46,112,59,186,-1
47,111,63,190,-1
48,113,57,185,-1
49,113,57,189,-1
50,117,57,190,-1
51,113,70,205,-1
52,119,65,203,-1
53,127,58,200,-1
54,114,60,191,-1
55,116,57,188,-1
56,113,64,191,-1
57,115,57,186,-1
58,112,57,183,-1
59,113,58,191,-1
60,114,57,190,-1
61,113,57,192,-1
62,114,73,203,-1
63,114,57,203,-1
64,114,57,188,-1
65,111,62,190,-1
66,116,61,191,-1
67,115,60,190,-1
68,112,59,185,-1
69,112,58,184,-1
70,115,59,214,-1
71,120,63,196,-1
72,111,59,183,-1
73,112,57,191,-1
74,113,57,187,-1
75,114,59,188,-1
76,113,57,186,-1
77,116,56,186,-1
78,114,57,187,-1
79,114,56,186,-1
80,113,59,184,-1
81,114,72,203,-1
82,111,57,184,-1
83,115,59,191,-1
84,111,59,186,-1
85,111,56,187,-1
86,113,63,196,-1
87,111,58,187,-1
88,125,59,198,-1
89,114,55,182,-1
90,112,57,184,-1
91,113,56,185,-1
92,114,57,186,-1
93,114,54,187,-1
94,111,59,185,-1
95,111,56,184,-1
96,251,74,344,-1
97,113,59,186,-1
98,112,59,186,-1
99,120,56,191,-1
100,114,58,190,-1
101,117,56,187,-1
102,112,61,193,-1
103,112,59,186,-1
104,116,57,192,-1
105,113,56,186,-1
106,114,55,185,-1
107,113,64,194,-1
108,112,59,186,-1
109,111,56,182,-1
110,112,55,183,-1
111,124,58,196,-1
112,111,57,184,-1
113,113,57,190,-1
114,122,56,196,-1
115,113,59,184,-1
116,113,61,190,-1
117,113,58,188,-1
118,118,56,187,-1
119,112,59,190,-1
120,113,64,192,-1
121,114,58,195,-1
122,114,56,185,-1
123,112,56,184,-1
124,114,56,187,-1
125,125,59,198,-1
126,116,59,191,-1
127,117,57,197,-1
128,111,59,190,-1
129,117,57,190,-1
130,285,57,360,-1
131,115,180,310,-1
132,544,56,614,-1
133,114,59,194,-1
134,171,63,254,-1
135,111,56,181,-1
136,115,56,186,-1
137,255,106,425,-1
138,216,83,385,-1
139,166,78,307,-1
140,149,58,235,-1
141,115,57,189,-1
142,78,56,151,-1
143,115,57,186,-1
144,110,59,185,-1
145,113,58,186,-1
146,113,56,184,-1
147,116,56,188,-1
148,115,67,198,-1
149,110,58,214,-1
150,117,56,194,-1
151,114,59,194,-1
152,130,69,226,-1
153,137,55,217,-1
154,115,57,187,-1
155,111,57,189,-1
156,119,58,191,-1
157,112,56,182,-1
158,123,61,201,-1
159,115,59,189,-1
160,157,57,230,-1
161,116,57,193,-1
162,114,56,183,-1
163,112,60,187,-1
164,111,56,183,-1
165,115,55,187,-1
166,129,91,243,-1
167,209,147,457,-1
168,199,71,324,-1
169,165,113,318,-1
170,217,97,442,-1
171,144,62,243,-1
172,140,87,266,-1
173,216,96,342,-1
174,159,101,321,-1
175,160,89,270,-1
176,191,80,317,-1
177,217,72,319,-1
178,137,63,258,-1
179,127,74,233,-1
180,122,57,201,-1
181,118,68,209,-1
182,152,90,321,-1
183,154,67,257,-1
184,115,45,191,-1
185,119,61,195,-1
186,117,57,193,-1
187,116,60,195,-1
188,114,57,189,-1
189,112,57,184,-1
190,113,55,188,-1
191,113,219,347,-1
192,113,56,184,-1
193,111,59,185,-1
194,118,57,195,-1
195,112,58,183,-1
196,116,67,205,-1
197,112,56,184,-1
198,123,60,200,-1
199,115,58,188,-1
,124.241206,62.2361809,212.6582915,
