ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real
310,276,77,1111,-1
12,140,86,1018,-1
11,151,85,1047,-1
8,276,89,1219,-1
6,290,85,1602,-1
13,122,88,945,-1
5,263,93,1649,-1
9,274,95,1143,-1
14,116,64,195,-1
20,119,59,196,-1
18,121,60,200,-1
16,119,59,205,-1
19,131,57,211,-1
15,131,65,221,-1
21,135,81,239,-1
17,135,84,245,-1
22,117,79,210,-1
23,113,58,187,-1
24,120,65,203,-1
27,119,58,201,-1
26,132,66,224,-1
25,142,68,236,-1
28,117,70,207,-1
29,128,66,215,-1
30,117,57,203,-1
31,127,58,206,-1
32,118,59,193,-1
33,111,61,187,-1
35,113,60,187,-1
34,113,63,189,-1
37,118,64,196,-1
36,123,66,209,-1
39,122,59,200,-1
38,121,58,201,-1
40,126,70,218,-1
41,115,62,212,-1
42,123,58,199,-1
43,122,58,200,-1
44,118,56,189,-1
45,114,58,184,-1
47,123,65,201,-1
46,123,66,204,-1
48,117,56,189,-1
51,129,56,201,-1
52,137,62,219,-1
50,132,68,234,-1
49,137,68,241,-1
53,122,75,233,-1
56,114,58,189,-1
55,127,60,206,-1
54,133,65,216,-1
57,124,59,224,-1
58,117,60,204,-1
59,118,63,206,-1
60,119,65,214,-1
61,145,54,217,-1
62,120,59,215,-1
64,116,66,206,-1
63,115,60,256,-1
65,120,67,212,-1
66,114,64,216,-1
67,114,70,285,-1
69,118,59,259,-1
70,111,63,224,-1
68,115,67,306,-1
71,115,56,219,-1
72,113,57,277,-1
73,111,57,239,-1
74,108,61,209,-1
75,110,58,220,-1
76,115,61,263,-1
78,112,55,236,-1
77,116,56,322,-1
81,114,55,222,-1
79,111,55,311,-1
80,108,60,273,-1
82,112,55,223,-1
83,111,55,199,-1
84,111,56,200,-1
85,113,54,208,-1
86,110,58,226,-1
88,107,65,226,-1
87,130,61,310,-1
89,124,58,242,-1
90,129,65,239,-1
91,111,66,239,-1
92,115,64,249,-1
93,143,70,292,-1
94,127,67,271,-1
96,128,66,250,-1
95,125,64,297,-1
97,128,65,222,-1
98,132,72,260,-1
99,127,67,290,-1
100,135,69,272,-1
101,125,62,279,-1
103,114,61,271,-1
102,126,54,309,-1
104,112,58,269,-1
105,115,56,224,-1
107,113,59,201,-1
106,112,57,251,-1
108,120,63,231,-1
109,114,56,244,-1
110,111,58,233,-1
111,112,72,279,-1
113,114,62,231,-1
112,109,66,287,-1
114,126,65,234,-1
115,130,60,241,-1
116,147,64,310,-1
117,146,64,272,-1
118,129,55,243,-1
120,130,54,233,-1
119,116,60,301,-1
122,115,56,262,-1
123,110,54,231,-1
121,109,56,317,-1
124,111,55,216,-1
125,108,60,201,-1
126,108,57,201,-1
127,114,57,243,-1
128,112,63,246,-1
130,110,58,224,-1
129,119,57,280,-1
131,112,56,241,-1
132,116,56,262,-1
133,110,69,255,-1
134,109,57,242,-1
135,117,56,243,-1
136,110,57,218,-1
137,110,55,268,-1
138,112,55,232,-1
139,122,58,229,-1
140,114,57,247,-1
141,117,56,223,-1
142,124,64,294,-1
143,116,57,240,-1
144,114,56,247,-1
145,113,56,264,-1
146,116,60,247,-1
147,119,55,226,-1
148,111,57,258,-1
149,112,65,273,-1
150,114,61,258,-1
152,117,57,224,-1
151,108,55,275,-1
154,114,56,246,-1
153,130,57,288,-1
156,109,57,210,-1
155,112,54,278,-1
157,111,62,219,-1
158,113,69,276,-1
160,123,55,258,-1
161,117,60,239,-1
162,123,55,234,-1
159,134,57,355,-1
164,108,57,218,-1
163,110,59,290,-1
165,110,56,227,-1
166,112,60,227,-1
167,115,62,267,-1
168,119,59,336,-1
170,120,54,265,-1
169,112,59,344,-1
172,112,57,217,-1
171,108,55,286,-1
173,110,56,225,-1
174,114,56,212,-1
175,109,60,203,-1
176,110,62,198,-1
177,112,58,219,-1
178,111,58,212,-1
179,118,55,269,-1
180,122,57,229,-1
182,112,57,222,-1
181,111,70,255,-1
183,109,61,245,-1
184,110,55,229,-1
185,108,62,244,-1
186,120,59,252,-1
187,114,60,215,-1
188,114,57,226,-1
189,121,59,213,-1
190,115,57,236,-1
191,110,61,213,-1
192,111,56,209,-1
193,110,54,233,-1
194,118,58,211,-1
195,111,57,206,-1
196,113,57,232,-1
197,112,57,244,-1
199,111,57,202,-1
198,110,56,276,-1
,122.2010309,61.40721649,277.4484536,
