ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real
513,521,70,1412,-1
10,180,71,1425,-1
14,299,72,1415,-1
12,217,72,1418,-1
9,448,84,1447,-1
15,311,88,1435,-1
8,297,84,1450,-1
11,296,90,1447,-1
20,80,56,171,-1
22,67,61,171,-1
18,130,86,234,-1
19,172,67,296,-1
17,173,75,297,-1
16,181,95,327,-1
23,149,71,306,-1
21,148,91,306,-1
25,133,38,223,-1
26,87,41,185,-1
24,126,50,226,-1
27,97,28,155,-1
28,145,64,251,-1
31,131,86,251,-1
32,91,39,173,-1
30,153,88,277,-1
29,157,87,277,-1
34,149,62,231,-1
33,148,65,231,-1
35,140,74,251,-1
38,58,62,148,-1
37,132,44,201,-1
39,97,28,177,-1
36,197,70,301,-1
41,158,86,261,-1
40,210,87,325,-1
42,166,92,275,-1
43,160,80,266,-1
45,88,127,230,-1
44,164,102,302,-1
47,125,68,207,-1
46,214,95,340,-1
48,152,63,267,-1
50,143,72,285,-1
52,153,58,232,-1
51,167,77,294,-1
49,232,84,344,-1
53,155,60,250,-1
55,136,61,232,-1
54,153,85,317,-1
56,137,69,228,-1
57,119,76,215,-1
59,121,62,201,-1
58,119,81,241,-1
60,145,88,265,-1
61,137,73,231,-1
63,121,58,198,-1
62,166,80,301,-1
67,114,60,189,-1
64,182,68,293,-1
65,159,67,278,-1
66,160,67,262,-1
69,146,74,278,-1
68,145,79,282,-1
70,151,73,261,-1
71,155,76,256,-1
73,122,58,215,-1
72,149,78,257,-1
74,137,85,272,-1
77,118,64,204,-1
75,167,108,361,-1
76,188,107,322,-1
78,178,84,305,-1
79,209,97,341,-1
81,198,98,321,-1
80,199,109,336,-1
82,210,85,367,-1
83,298,71,414,-1
84,233,102,374,-1
89,149,81,269,-1
85,330,61,429,-1
86,323,86,435,-1
87,201,78,319,-1
88,203,71,321,-1
90,163,116,347,-1
91,127,97,299,-1
92,144,84,279,-1
93,143,111,302,-1
95,217,70,326,-1
96,233,65,326,-1
94,199,75,329,-1
97,283,73,401,-1
98,253,55,327,-1
100,283,108,428,-1
99,285,103,443,-1
104,213,72,312,-1
103,213,94,351,-1
102,213,114,357,-1
101,293,102,433,-1
105,139,104,282,-1
106,177,67,294,-1
109,150,61,266,-1
108,172,77,316,-1
107,181,92,331,-1
111,180,61,279,-1
112,180,64,279,-1
110,188,74,299,-1
113,225,66,334,-1
115,193,59,278,-1
114,341,59,429,-1
116,179,58,263,-1
121,122,71,202,-1
119,308,59,387,-1
117,315,60,411,-1
118,308,61,388,-1
120,285,65,377,-1
124,133,59,217,-1
122,134,65,223,-1
123,136,71,230,-1
125,130,64,220,-1
128,146,63,246,-1
127,157,63,247,-1
126,168,62,249,-1
133,144,75,239,-1
131,251,66,346,-1
132,238,65,339,-1
129,303,82,418,-1
130,256,87,379,-1
134,209,87,348,-1
135,208,82,349,-1
136,202,91,351,-1
137,143,97,284,-1
139,180,65,265,-1
138,180,68,267,-1
141,159,85,276,-1
140,158,90,282,-1
143,112,89,215,-1
142,167,102,288,-1
144,201,81,340,-1
145,227,71,349,-1
147,166,69,309,-1
146,249,61,348,-1
148,215,69,314,-1
150,144,66,259,-1
149,265,85,377,-1
154,120,70,208,-1
152,167,78,272,-1
151,199,91,340,-1
153,145,68,260,-1
155,146,64,243,-1
156,173,56,249,-1
158,142,65,222,-1
157,151,61,240,-1
159,129,63,236,-1
160,152,56,222,-1
162,256,57,330,-1
164,217,72,323,-1
163,242,69,330,-1
161,271,70,364,-1
166,212,68,300,-1
165,215,72,316,-1
169,126,94,247,-1
167,291,84,390,-1
168,292,62,400,-1
173,144,69,263,-1
172,169,93,286,-1
170,184,65,288,-1
174,138,71,249,-1
171,218,62,351,-1
176,141,77,233,-1
175,142,62,236,-1
179,134,67,240,-1
178,168,74,262,-1
177,231,70,349,-1
180,175,71,298,-1
181,224,67,320,-1
185,120,62,200,-1
183,219,63,305,-1
184,214,75,315,-1
182,322,77,426,-1
186,161,60,235,-1
189,113,68,200,-1
187,133,73,241,-1
188,161,60,261,-1
190,165,80,274,-1
191,145,84,253,-1
192,143,63,243,-1
194,176,61,256,-1
195,153,70,245,-1
193,191,73,279,-1
197,147,72,249,-1
196,362,71,466,-1
202,134,64,241,-1
203,139,82,259,-1
201,144,79,269,-1
198,233,58,314,-1
200,207,78,318,-1
204,149,68,260,-1
199,233,77,354,-1
206,156,147,326,-1
208,194,114,339,-1
205,219,112,410,-1
207,259,67,401,-1
209,313,63,447,-1
211,282,117,430,-1
212,238,84,420,-1
210,301,97,450,-1
218,117,73,216,-1
217,129,93,242,-1
220,132,86,240,-1
219,139,62,245,-1
215,271,56,369,-1
214,296,63,401,-1
216,199,64,365,-1
213,344,87,477,-1
223,141,89,256,-1
224,145,88,256,-1
222,144,95,283,-1
221,150,96,322,-1
225,283,60,386,-1
228,261,71,365,-1
227,277,95,422,-1
226,301,100,436,-1
229,319,61,404,-1
231,318,65,406,-1
232,261,65,363,-1
230,319,63,413,-1
233,303,84,403,-1
235,267,79,374,-1
234,283,81,407,-1
236,262,126,436,-1
239,265,104,439,-1
240,269,107,449,-1
238,271,98,449,-1
237,313,93,449,-1
243,246,99,378,-1
242,308,64,410,-1
241,296,74,425,-1
244,264,79,373,-1
247,243,57,368,-1
245,254,56,372,-1
248,262,58,373,-1
246,262,61,373,-1
252,190,98,314,-1
251,192,102,335,-1
249,238,104,371,-1
250,192,80,338,-1
254,170,63,289,-1
253,177,69,305,-1
