ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real
8,73,36,646,-1
11,146,57,538,-1
12,144,55,430,-1
2,436,54,1542,-1
4,441,56,1378,-1
5,374,54,1120,-1
1,461,59,1559,-1
9,73,56,659,-1
6,120,62,1058,-1
0,442,64,1575,-1
13,123,65,355,-1
10,122,64,662,-1
7,173,69,1005,-1
14,148,58,311,-1
15,123,58,291,-1
16,110,56,226,-1
17,109,56,210,-1
18,109,57,212,-1
19,110,59,232,-1
20,110,58,227,-1
21,112,55,247,-1
22,111,55,215,-1
23,112,55,275,-1
24,112,55,222,-1
25,109,57,207,-1
26,116,56,249,-1
27,108,57,235,-1
28,116,55,208,-1
29,112,58,223,-1
30,109,74,223,-1
31,129,58,242,-1
32,111,59,245,-1
33,110,60,205,-1
34,111,56,227,-1
35,110,63,260,-1
36,112,57,199,-1
37,112,57,244,-1
38,113,55,288,-1
39,114,59,221,-1
40,111,62,222,-1
41,119,59,224,-1
42,117,58,244,-1
43,113,58,236,-1
44,112,55,237,-1
45,110,57,218,-1
46,115,56,247,-1
47,111,55,214,-1
48,119,56,255,-1
49,111,56,227,-1
50,122,54,303,-1
51,123,58,250,-1
52,112,55,208,-1
53,123,55,220,-1
54,111,56,278,-1
55,112,56,204,-1
56,111,55,265,-1
57,120,55,264,-1
58,118,55,222,-1
59,109,59,232,-1
60,110,56,220,-1
61,111,60,260,-1
62,113,57,219,-1
63,108,57,214,-1
64,113,57,245,-1
65,117,56,240,-1
66,110,54,264,-1
67,109,56,219,-1
68,112,57,187,-1
69,110,55,259,-1
70,109,66,217,-1
71,110,56,212,-1
72,111,57,214,-1
73,115,57,215,-1
74,126,55,275,-1
75,112,56,209,-1
76,109,58,226,-1
77,111,58,245,-1
78,117,55,263,-1
79,110,60,241,-1
,134.5316456,57.30379747,355.5063291,
