ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real
4,262,59,1234,-1
7,118,56,789,-1
5,103,56,906,-1
3,272,60,1355,-1
6,89,56,909,-1
0,251,58,1441,-1
2,256,58,1451,-1
8,125,60,723,-1
9,111,65,194,-1
11,120,75,226,-1
10,117,74,232,-1
13,117,74,219,-1
12,131,70,221,-1
14,125,57,212,-1
15,124,56,206,-1
16,114,62,308,-1
17,112,95,314,-1
18,122,84,285,-1
19,137,58,256,-1
20,148,60,279,-1
21,112,60,232,-1
22,113,65,316,-1
23,109,60,206,-1
24,117,57,233,-1
25,110,57,227,-1
26,112,55,233,-1
27,113,57,258,-1
28,111,61,238,-1
29,121,59,303,-1
30,111,60,217,-1
31,111,59,256,-1
32,116,62,235,-1
33,110,57,245,-1
34,109,60,237,-1
35,115,60,218,-1
36,111,56,275,-1
37,109,55,235,-1
38,117,56,223,-1
39,111,98,283,-1
40,115,59,253,-1
41,113,81,298,-1
42,136,56,264,-1
43,116,58,221,-1
44,110,55,193,-1
45,121,56,220,-1
47,109,59,217,-1
46,112,57,346,-1
48,117,61,249,-1
50,112,55,205,-1
49,112,57,319,-1
51,112,56,271,-1
52,114,59,238,-1
53,110,55,230,-1
54,108,74,281,-1
55,129,57,257,-1
56,113,57,227,-1
57,114,56,256,-1
58,110,57,253,-1
59,111,57,232,-1
60,113,56,220,-1
61,114,60,241,-1
62,110,54,232,-1
63,121,62,324,-1
64,113,58,232,-1
65,130,58,252,-1
66,118,56,215,-1
67,110,55,202,-1
68,110,58,257,-1
69,112,62,233,-1
70,113,55,235,-1
71,110,58,289,-1
72,115,55,218,-1
73,111,62,210,-1
74,111,57,297,-1
75,113,61,239,-1
76,111,56,244,-1
77,111,61,219,-1
78,122,57,219,-1
79,111,58,271,-1
,122.3417722,60.60759494,333.0253165,
