ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real
3,275,67,1020,-1
2,276,72,1034,-1
4,110,27,156,-1
5,124,56,203,-1
6,121,58,193,-1
7,114,56,183,-1
8,114,58,188,-1
9,112,55,180,-1
10,112,57,186,-1
11,119,59,197,-1
12,111,58,186,-1
13,109,55,183,-1
14,125,61,201,-1
15,122,57,199,-1
16,125,65,214,-1
17,112,58,191,-1
18,121,57,199,-1
19,112,59,193,-1
20,119,58,197,-1
21,119,58,206,-1
22,111,68,205,-1
23,121,65,200,-1
25,117,57,187,-1
24,115,61,191,-1
26,110,57,182,-1
27,114,59,191,-1
28,123,59,209,-1
29,124,55,203,-1
31,132,55,213,-1
30,137,57,215,-1
33,111,57,193,-1
32,114,55,196,-1
35,112,58,187,-1
34,113,63,191,-1
37,112,58,188,-1
36,112,58,188,-1
39,113,55,184,-1
38,114,62,192,-1
40,111,57,181,-1
41,113,59,184,-1
42,114,60,189,-1
43,110,58,180,-1
45,112,59,186,-1
44,115,59,189,-1
47,115,56,190,-1
46,117,56,194,-1
49,115,57,190,-1
48,115,56,193,-1
50,115,57,193,-1
51,115,61,198,-1
53,127,58,207,-1
52,128,58,207,-1
55,118,56,191,-1
54,113,60,191,-1
56,120,56,195,-1
57,120,55,199,-1
59,115,56,189,-1
58,123,57,193,-1
60,116,55,188,-1
61,111,59,189,-1
62,111,59,188,-1
63,127,58,200,-1
64,122,57,198,-1
65,120,61,201,-1
67,133,55,209,-1
66,133,54,212,-1
68,113,72,203,-1
69,112,72,204,-1
70,114,58,193,-1
71,114,58,193,-1
72,116,60,194,-1
73,115,59,193,-1
74,116,57,196,-1
75,117,59,198,-1
76,115,59,191,-1
77,116,58,192,-1
79,115,57,189,-1
78,117,58,193,-1
,121.0384615,58.28205128,215.2179487,
